Datum,ST110_VARExtr_1_druck_1_IstP,ST110_VARExtr_1_HeizungZone_1_ActEffectPower,ST110_VARExtr_1_HeizungZone_1_Regler_X,ST110_VARExtr_1_HeizungZone_1_Regler_Y,ST110_VARExtr_1_HeizungZone_3_ActEffectPower,ST110_VARExtr_1_HeizungZone_3_Regler_X,ST110_VARExtr_1_HeizungZone_3_Regler_Y,ST110_VARExtr_1_HeizungZone_5_ActEffectPower,ST110_VARExtr_1_HeizungZone_5_Regler_X,ST110_VARExtr_1_HeizungZone_5_Regler_Y,ST110_VARExtr_1_HeizungZone_7_ActEffectPower,ST110_VARExtr_1_HeizungZone_7_Regler_X,ST110_VARExtr_1_HeizungZone_7_Regler_Y,ST110_VARExtr_1_Massetemperatur,ST110_VARExtr_2_druck_1_IstP,ST110_VARExtr_2_HeizungZone_1_ActEffectPower,ST110_VARExtr_2_HeizungZone_1_Regler_X,ST110_VARExtr_2_HeizungZone_1_Regler_Y,ST110_VARExtr_2_HeizungZone_3_ActEffectPower,ST110_VARExtr_2_HeizungZone_3_Regler_X,ST110_VARExtr_2_HeizungZone_3_Regler_Y,ST110_VARExtr_2_HeizungZone_5_ActEffectPower,ST110_VARExtr_2_HeizungZone_5_Regler_X,ST110_VARExtr_2_HeizungZone_5_Regler_Y,ST110_VARExtr_2_HeizungZone_7_ActEffectPower,ST110_VARExtr_2_HeizungZone_7_Regler_X,ST110_VARExtr_2_HeizungZone_7_Regler_Y,ST110_VARExtr_2_Massetemperatur,ST110_VARExtr_3_druck_1_IstP,ST110_VARExtr_3_HeizungZone_1_ActEffectPower,ST110_VARExtr_3_HeizungZone_1_Regler_X,ST110_VARExtr_3_HeizungZone_1_Regler_Y,ST110_VARExtr_3_HeizungZone_3_ActEffectPower,ST110_VARExtr_3_HeizungZone_3_Regler_X,ST110_VARExtr_3_HeizungZone_3_Regler_Y,ST110_VARExtr_3_HeizungZone_5_ActEffectPower,ST110_VARExtr_3_HeizungZone_5_Regler_X,ST110_VARExtr_3_HeizungZone_5_Regler_Y,ST110_VARExtr_3_HeizungZone_7_ActEffectPower,ST110_VARExtr_3_HeizungZone_7_Regler_X,ST110_VARExtr_3_HeizungZone_7_Regler_Y,ST110_VARExtr_3_Massetemperatur,ST110_VAREx_0_GesamtDS,ST110_VAREx_0_SDickeIst,ST110_VAREx_0_SDickeSoll,ST110_VAREx_0_SollDS,ST110_VAREx_1_Dos_2_IstAnteil,ST110_VAREx_1_Dos_2_SollAnteil,ST110_VAREx_1_Dos_2_SollDichte,ST110_VAREx_1_Dos_3_IstAnteil,ST110_VAREx_1_Dos_3_SollAnteil,ST110_VAREx_1_Dos_3_SollDichte,ST110_VAREx_1_Dos_4_IstAnteil,ST110_VAREx_1_Dos_4_SollAnteil,ST110_VAREx_1_Dos_4_SollDichte,ST110_VAREx_1_Dos_5_IstAnteil,ST110_VAREx_1_Dos_5_SollAnteil,ST110_VAREx_1_Dos_5_SollDichte,ST110_VAREx_2_Dos_2_IstAnteil,ST110_VAREx_2_Dos_2_SollAnteil,ST110_VAREx_2_Dos_2_SollDichte,ST110_VAREx_2_Dos_3_IstAnteil,ST110_VAREx_2_Dos_3_SollAnteil,ST110_VAREx_2_Dos_3_SollDichte,ST110_VAREx_2_Dos_4_IstAnteil,ST110_VAREx_2_Dos_4_SollAnteil,ST110_VAREx_2_Dos_4_SollDichte,ST110_VAREx_2_Dos_5_IstAnteil,ST110_VAREx_2_Dos_5_SollAnteil,ST110_VAREx_2_Dos_5_SollDichte,ST110_VAREx_3_Dos_2_IstAnteil,ST110_VAREx_3_Dos_2_SollAnteil,ST110_VAREx_3_Dos_2_SollDichte,ST110_VAREx_3_Dos_3_IstAnteil,ST110_VAREx_3_Dos_3_SollAnteil,ST110_VAREx_3_Dos_3_SollDichte,ST110_VAREx_3_Dos_4_IstAnteil,ST110_VAREx_3_Dos_4_SollAnteil,ST110_VAREx_3_Dos_4_SollDichte,ST110_VAREx_3_Dos_5_IstAnteil,ST110_VAREx_3_Dos_5_SollAnteil,ST110_VAREx_3_Dos_5_SollDichte,ST110_VARGeblaese_1_Auslastung,ST110_VARGeblaese_2_Auslastung,ST110_VARIBC_1_Ist_n_Calc,ST110_VARIBC_1_Soll_n_Visu,ST113_VARActLen,ST113_VARRemainingTimeVis,ST114_VARActLen,ST114_VARRemainingTimeVis
25.06.2018 4:42,313.0,2.39,170.0,48.0,1.03,175.0,21.0,0.0,36.0,0.0,0.9,185.0,21.0,37.0,363.0,1.48,190.0,15.0,2.0,197.0,21.0,0.0,205.0,-4.0,1.8,210.0,31.0,35.0,332.0,2.34,170.0,47.0,1.0,177.0,21.0,0.0,34.0,0.0,0.81,185.0,18.0,191.0,316.1,29.0,29.0,315.0,74.03,74.0,0.92,1.48,1.5,0.92,23.97,24.0,0.92,0.53,0.5,0.93,55.06,55.0,0.92,11.88,12.0,1.2,29.99,30.0,0.94,3.07,3.0,1.29,75.61,75.5,0.92,0.0,0.0,0.92,23.9,24.0,0.92,0.49,0.5,0.93,8.0,16.0,34.0,35.0,669.0,10.0,721.0,10.0
25.06.2018 4:47,311.0,2.39,170.0,48.0,1.01,175.0,21.0,0.0,36.0,0.0,0.87,185.0,21.0,37.0,359.0,1.45,190.0,15.0,1.91,197.0,20.0,0.0,205.0,-1.0,1.78,210.0,31.0,35.0,329.0,2.38,170.0,48.0,1.05,177.0,22.0,0.0,34.0,0.0,0.79,185.0,18.0,191.0,315.0,28.9,29.0,315.0,74.11,74.0,0.92,1.54,1.5,0.92,23.86,24.0,0.92,0.49,0.5,0.93,55.16,55.0,0.92,11.97,12.0,1.2,29.8,30.0,0.94,3.07,3.0,1.29,75.57,75.5,0.92,0.0,0.0,0.92,23.95,24.0,0.92,0.48,0.5,0.93,8.0,16.0,34.0,35.0,1020.0,6.0,1071.0,5.0
25.06.2018 4:51,310.0,2.41,170.0,49.0,1.01,175.0,21.0,0.0,36.0,0.0,0.92,185.0,22.0,37.0,359.0,1.44,190.0,15.0,1.91,197.0,20.0,0.0,205.0,-3.0,1.79,210.0,31.0,35.0,330.0,2.33,170.0,48.0,1.05,177.0,22.0,0.0,34.0,0.0,0.82,185.0,19.0,191.0,314.5,28.9,29.0,315.0,74.01,74.0,0.92,1.49,1.5,0.92,24.01,24.0,0.92,0.49,0.5,0.93,54.9,55.0,0.92,12.0,12.0,1.2,30.12,30.0,0.94,2.98,3.0,1.29,75.61,75.5,0.92,0.0,0.0,0.92,23.9,24.0,0.92,0.49,0.5,0.93,6.0,13.0,34.0,35.0,1370.0,1.0,1422.0,1.0
25.06.2018 4:55,309.0,2.43,170.0,49.0,0.97,175.0,20.0,0.0,36.0,0.0,0.87,185.0,21.0,37.0,359.0,1.44,190.0,15.0,1.98,197.0,21.0,0.0,205.0,0.0,1.81,210.0,31.0,35.0,331.0,2.34,170.0,48.0,1.03,177.0,21.0,0.0,34.0,0.0,0.84,185.0,19.0,191.0,315.5,28.9,29.0,315.0,74.15,74.0,0.92,1.46,1.5,0.92,23.9,24.0,0.92,0.49,0.5,0.93,54.9,55.0,0.92,12.11,12.0,1.2,29.98,30.0,0.94,3.01,3.0,1.29,75.61,75.5,0.92,0.0,0.0,0.92,23.9,24.0,0.92,0.49,0.5,0.93,6.0,13.0,34.0,35.0,225.0,15.0,276.0,15.0
25.06.2018 5:00,307.0,2.4,170.0,48.0,0.98,175.0,20.0,0.0,36.0,0.0,0.88,185.0,21.0,37.0,357.0,1.45,190.0,15.0,1.91,197.0,20.0,0.0,205.0,-1.0,1.74,210.0,31.0,35.0,326.0,2.36,170.0,48.0,1.05,177.0,22.0,0.0,34.0,0.0,0.84,185.0,19.0,191.0,316.5,29.2,29.0,315.0,74.15,74.0,0.92,1.46,1.5,0.92,23.9,24.0,0.92,0.49,0.5,0.93,54.96,55.0,0.92,12.03,12.0,1.2,30.1,30.0,0.94,2.92,3.0,1.29,75.66,75.5,0.92,0.0,0.0,0.92,23.85,24.0,0.92,0.49,0.5,0.93,10.0,13.0,34.0,35.0,575.0,11.0,626.0,11.0
25.06.2018 5:04,308.0,2.4,170.0,48.0,1.0,175.0,21.0,0.0,36.0,0.0,0.94,185.0,23.0,37.0,358.0,1.44,190.0,15.0,1.91,197.0,20.0,0.0,205.0,-2.0,1.79,210.0,31.0,36.0,329.0,2.36,170.0,48.0,1.03,177.0,21.0,0.0,34.0,0.0,0.84,185.0,19.0,191.0,318.8,28.9,29.0,320.0,73.86,74.0,0.92,1.5,1.5,0.92,24.12,24.0,0.92,0.51,0.5,0.93,54.89,55.0,0.92,12.1,12.0,1.2,30.11,30.0,0.94,2.91,3.0,1.29,75.55,75.5,0.92,0.0,0.0,0.92,23.94,24.0,0.92,0.51,0.5,0.93,10.0,13.0,34.0,35.0,928.0,6.0,979.0,6.0
25.06.2018 5:08,308.0,2.4,170.0,48.0,0.97,175.0,20.0,0.0,36.0,0.0,0.93,185.0,22.0,37.0,359.0,1.4,190.0,15.0,1.93,197.0,21.0,0.0,205.0,-1.0,1.79,210.0,31.0,36.0,329.0,2.34,170.0,48.0,1.06,177.0,22.0,0.0,34.0,0.0,0.86,185.0,20.0,191.0,319.7,29.0,29.0,320.0,73.98,74.0,0.92,1.5,1.5,0.92,24.0,24.0,0.92,0.51,0.5,0.93,55.13,55.0,0.92,12.05,12.0,1.2,29.83,30.0,0.94,2.99,3.0,1.29,75.68,75.5,0.92,0.0,0.0,0.92,23.8,24.0,0.92,0.52,0.5,0.93,6.0,19.0,34.0,35.0,1283.0,2.0,1334.0,2.0
25.06.2018 5:13,309.0,2.34,170.0,48.0,0.95,175.0,20.0,0.0,36.0,0.0,0.92,185.0,22.0,37.0,360.0,1.35,190.0,14.0,1.86,197.0,20.0,0.0,205.0,-1.0,1.76,210.0,31.0,36.0,330.0,2.35,170.0,48.0,1.07,177.0,22.0,0.0,34.0,0.0,0.86,185.0,20.0,191.0,320.2,29.0,29.0,320.0,73.98,74.0,0.92,1.47,1.5,0.92,24.02,24.0,0.92,0.53,0.5,0.93,55.05,55.0,0.92,11.88,12.0,1.2,30.13,30.0,0.94,2.94,3.0,1.29,75.56,75.5,0.92,0.0,0.0,0.92,23.92,24.0,0.92,0.51,0.5,0.93,6.0,19.0,34.0,35.0,152.0,16.0,202.0,16.0
25.06.2018 5:17,309.0,2.38,170.0,48.0,1.0,175.0,20.0,0.0,36.0,0.0,0.9,185.0,22.0,37.0,361.0,1.32,190.0,14.0,1.9,197.0,20.0,0.0,205.0,-2.0,1.76,210.0,31.0,36.0,330.0,2.36,170.0,48.0,1.05,177.0,22.0,0.0,34.0,0.0,0.85,185.0,19.0,191.0,320.8,29.1,29.0,320.0,74.11,74.0,0.92,1.49,1.5,0.92,23.91,24.0,0.92,0.49,0.5,0.93,55.06,55.0,0.92,12.09,12.0,1.2,29.86,30.0,0.94,2.98,3.0,1.29,75.56,75.5,0.92,0.0,0.0,0.92,23.94,24.0,0.92,0.5,0.5,0.93,10.0,13.0,34.0,35.0,507.0,12.0,558.0,11.0
25.06.2018 5:21,310.0,2.36,170.0,48.0,1.04,175.0,21.0,0.0,36.0,0.0,0.9,185.0,22.0,37.0,360.0,1.31,190.0,14.0,1.91,197.0,20.0,0.0,205.0,-3.0,1.76,210.0,31.0,36.0,328.0,2.33,170.0,48.0,1.03,177.0,21.0,0.0,34.0,0.0,0.82,185.0,19.0,191.0,320.7,29.0,29.0,320.0,74.07,74.0,0.92,1.49,1.5,0.92,23.92,24.0,0.92,0.52,0.5,0.93,55.01,55.0,0.92,12.12,12.0,1.2,29.9,30.0,0.94,2.97,3.0,1.29,75.56,75.5,0.92,0.0,0.0,0.92,23.96,24.0,0.92,0.48,0.5,0.93,10.0,13.0,34.0,35.0,862.0,7.0,912.0,7.0
